Runs,best_params_,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__features_contentRating,encode__features_installs,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start,param_distributions,step_4_est,step_4_name
0,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': False}",False,<function drop_text at 0x11508f488>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",['LabelEncoder'],['LabelEncoder'],False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [False], 'forest__n_estimators': [50, 75, 100], 'forest__max_depth': [3, 5], 'forest__max_features': [None]}",0.3804443424725632,0.02138739139519103,0.7282150218847895,0.005093329666610076,0.3767285269868172,0.02123206356233646,0.7280568636114602,0.005141120906896526,0.3803103339302977,0.020095482205619224,0.7341080648221288,0.004830560904917257,0.3804443424725632,0.02138739139519103,0.7282150218847895,0.005093329666610076,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,915.0439750432968,9.000874825185283,171.54480104446412,10.34800937867977,,,,,,,,,,,,,,,,,,,,RandomForestClassifier,forest
1,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",False,<function drop_text at 0x11508f488>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",['LabelEncoder'],['LabelEncoder'],False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.01, 0.1, 1], 'gradient__n_estimators': [150], 'gradient__max_depth': [3, 5], 'gradient__max_features': [None]}",0.3816680050476081,0.02618622532128576,0.8053992454342997,0.0037952236851490156,0.37986635673888763,0.025147944078619817,0.8054949517947584,0.003788970517120758,0.3823031561859439,0.02432195538953367,0.8070918079362587,0.003811766558552206,0.3816680050476081,0.02618622532128576,0.8053992454342997,0.0037952236851490156,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,909.324430155754,9.642156681535056,173.79428181648254,8.33357678365853,friedman_mse,None,1,deviance,3,None,None,0.0,None,1,2,0.0,150,auto,None,1.0,0,False,,GradientBoostingClassifier,gradient
