,y_eval,y_pred,diff
7758,3.0,4.0,1.0
7759,1.0,4.0,3.0
7760,1.0,4.0,3.0
7761,2.0,4.0,2.0
7762,1.0,4.0,3.0
7765,4.0,4.0,0.0
7767,1.0,4.0,3.0
7768,4.0,4.0,0.0
7769,4.0,4.0,0.0
7770,1.0,4.0,3.0
7771,3.0,4.0,1.0
7772,3.0,3.0,0.0
7773,3.0,4.0,1.0
7774,3.0,4.0,1.0
7775,3.0,1.0,-2.0
7776,4.0,4.0,0.0
7777,4.0,4.0,0.0
7778,3.0,4.0,1.0
7780,3.0,4.0,1.0
7781,1.0,4.0,3.0
7782,4.0,4.0,0.0
7783,4.0,4.0,0.0
7785,1.0,4.0,3.0
7786,1.0,4.0,3.0
7787,3.0,4.0,1.0
7788,1.0,4.0,3.0
7789,4.0,1.0,-3.0
7790,3.0,4.0,1.0
7791,1.0,4.0,3.0
7792,3.0,4.0,1.0
7793,1.0,4.0,3.0
7794,3.0,4.0,1.0
7795,3.0,1.0,-2.0
7796,3.0,4.0,1.0
7797,4.0,4.0,0.0
7798,4.0,4.0,0.0
7799,1.0,1.0,0.0
7800,4.0,4.0,0.0
7802,2.0,4.0,2.0
7803,1.0,4.0,3.0
7804,1.0,4.0,3.0
7805,1.0,4.0,3.0
7806,4.0,4.0,0.0
7807,4.0,4.0,0.0
7808,4.0,4.0,0.0
7810,1.0,4.0,3.0
7811,1.0,4.0,3.0
7812,1.0,4.0,3.0
7813,4.0,4.0,0.0
7814,2.0,4.0,2.0
7816,4.0,1.0,-3.0
7817,1.0,4.0,3.0
7818,1.0,4.0,3.0
7819,1.0,4.0,3.0
7820,3.0,4.0,1.0
7822,4.0,4.0,0.0
7824,4.0,4.0,0.0
7825,1.0,4.0,3.0
7826,4.0,4.0,0.0
7827,1.0,4.0,3.0
7828,3.0,4.0,1.0
7829,4.0,4.0,0.0
7830,3.0,4.0,1.0
7832,4.0,4.0,0.0
7833,4.0,4.0,0.0
7835,4.0,4.0,0.0
7836,1.0,4.0,3.0
7838,1.0,3.0,2.0
7839,4.0,4.0,0.0
7840,1.0,3.0,2.0
7841,1.0,4.0,3.0
7842,4.0,4.0,0.0
7843,1.0,4.0,3.0
7844,3.0,4.0,1.0
7845,1.0,4.0,3.0
7846,3.0,4.0,1.0
7849,1.0,4.0,3.0
7851,1.0,4.0,3.0
7852,1.0,4.0,3.0
7853,1.0,4.0,3.0
7854,1.0,4.0,3.0
7855,1.0,4.0,3.0
7856,3.0,4.0,1.0
7857,4.0,4.0,0.0
7858,3.0,4.0,1.0
7859,1.0,4.0,3.0
7860,3.0,1.0,-2.0
7862,1.0,4.0,3.0
7864,4.0,4.0,0.0
7865,4.0,4.0,0.0
7866,1.0,4.0,3.0
7867,2.0,4.0,2.0
7868,3.0,4.0,1.0
10447,1.0,4.0,3.0
10448,4.0,4.0,0.0
10449,1.0,3.0,2.0
10450,1.0,4.0,3.0
10451,1.0,4.0,3.0
10453,4.0,4.0,0.0
10454,1.0,4.0,3.0
10456,3.0,4.0,1.0
10457,3.0,4.0,1.0
10458,4.0,4.0,0.0
10459,1.0,3.0,2.0
10460,3.0,3.0,0.0
