,y_eval,y_pred,diff
2602,4.0,3.0,-1.0
2605,3.0,3.0,0.0
2611,2.0,3.0,1.0
2612,2.0,3.0,1.0
2621,4.0,2.0,-2.0
2625,1.0,3.0,2.0
2639,2.0,4.0,2.0
2645,3.0,4.0,1.0
2652,4.0,3.0,-1.0
2681,4.0,2.0,-2.0
2704,3.0,2.0,-1.0
2723,2.0,3.0,1.0
2734,4.0,4.0,0.0
2747,1.0,1.0,0.0
2801,3.0,3.0,0.0
2813,3.0,4.0,1.0
2838,4.0,2.0,-2.0
2865,3.0,3.0,0.0
2898,4.0,3.0,-1.0
2906,3.0,3.0,0.0
2934,3.0,3.0,0.0
2937,3.0,3.0,0.0
2953,3.0,3.0,0.0
3000,3.0,3.0,0.0
3140,3.0,3.0,0.0
3643,1.0,3.0,2.0
3644,4.0,4.0,0.0
3645,2.0,3.0,1.0
3647,2.0,2.0,0.0
3650,3.0,3.0,0.0
3655,3.0,3.0,0.0
3658,2.0,1.0,-1.0
3669,3.0,3.0,0.0
3670,4.0,2.0,-2.0
3677,2.0,4.0,2.0
3688,3.0,3.0,0.0
3689,2.0,3.0,1.0
3692,2.0,2.0,0.0
3694,2.0,2.0,0.0
3696,3.0,3.0,0.0
3697,3.0,3.0,0.0
3701,2.0,3.0,1.0
3703,2.0,3.0,1.0
3704,3.0,3.0,0.0
3711,4.0,2.0,-2.0
3714,2.0,2.0,0.0
3720,1.0,3.0,2.0
3724,2.0,1.0,-1.0
4234,3.0,3.0,0.0
4236,2.0,1.0,-1.0
4238,3.0,2.0,-1.0
4243,1.0,3.0,2.0
4245,4.0,4.0,0.0
4248,2.0,3.0,1.0
4249,2.0,1.0,-1.0
4251,3.0,3.0,0.0
4254,2.0,3.0,1.0
4256,3.0,2.0,-1.0
4261,3.0,2.0,-1.0
4265,3.0,3.0,0.0
4269,2.0,1.0,-1.0
4272,3.0,2.0,-1.0
4279,3.0,3.0,0.0
4284,2.0,4.0,2.0
4286,1.0,1.0,0.0
4287,4.0,3.0,-1.0
4290,4.0,3.0,-1.0
4293,2.0,1.0,-1.0
4296,1.0,3.0,2.0
4297,4.0,3.0,-1.0
4301,2.0,2.0,0.0
4304,3.0,3.0,0.0
4308,2.0,4.0,2.0
4309,4.0,4.0,0.0
4311,3.0,1.0,-2.0
4313,4.0,2.0,-2.0
4314,4.0,2.0,-2.0
4317,3.0,1.0,-2.0
4319,3.0,3.0,0.0
4321,2.0,1.0,-1.0
4323,2.0,2.0,0.0
4327,4.0,4.0,0.0
4330,4.0,3.0,-1.0
4331,4.0,3.0,-1.0
4333,4.0,4.0,0.0
4334,2.0,3.0,1.0
4335,3.0,3.0,0.0
4339,3.0,2.0,-1.0
4341,2.0,2.0,0.0
4343,3.0,2.0,-1.0
4346,4.0,3.0,-1.0
4358,3.0,2.0,-1.0
4359,1.0,2.0,1.0
4362,4.0,3.0,-1.0
4363,3.0,4.0,1.0
4366,3.0,3.0,0.0
4369,1.0,1.0,0.0
4375,4.0,4.0,0.0
4380,2.0,3.0,1.0
4381,3.0,1.0,-2.0
4382,3.0,2.0,-1.0
4383,3.0,2.0,-1.0
4384,3.0,3.0,0.0
4386,3.0,3.0,0.0
4388,3.0,3.0,0.0
4392,3.0,2.0,-1.0
4395,4.0,4.0,0.0
4396,2.0,2.0,0.0
4398,4.0,2.0,-2.0
4403,3.0,1.0,-2.0
4413,1.0,1.0,0.0
4417,3.0,3.0,0.0
4421,2.0,3.0,1.0
4426,3.0,3.0,0.0
4431,3.0,2.0,-1.0
4438,3.0,3.0,0.0
4441,2.0,4.0,2.0
4444,2.0,1.0,-1.0
4445,3.0,3.0,0.0
4447,3.0,3.0,0.0
4450,2.0,2.0,0.0
4467,4.0,1.0,-3.0
4468,1.0,3.0,2.0
4473,2.0,2.0,0.0
4475,2.0,2.0,0.0
4476,3.0,2.0,-1.0
4477,2.0,4.0,2.0
4481,3.0,3.0,0.0
4482,3.0,2.0,-1.0
4484,3.0,3.0,0.0
4486,2.0,4.0,2.0
4493,4.0,1.0,-3.0
4496,3.0,3.0,0.0
4497,2.0,2.0,0.0
4498,3.0,3.0,0.0
4499,4.0,4.0,0.0
4500,2.0,2.0,0.0
4505,4.0,4.0,0.0
4513,2.0,2.0,0.0
4517,4.0,3.0,-1.0
4521,2.0,2.0,0.0
